filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
camcourt1_1512405572696_0.png,5214813,"{}",1,0,"{""name"":""rect"",""x"":1415,""y"":1090,""width"":40,""height"":43}","{}"
camcourt1_1512405572696_40.png,5215199,"{}",1,0,"{""name"":""rect"",""x"":1342,""y"":1087,""width"":39,""height"":41}","{}"
camcourt1_1512405932787_0.png,5246137,"{}",1,0,"{""name"":""rect"",""x"":535,""y"":1092,""width"":32,""height"":35}","{}"
camcourt1_1512405932787_40.png,5247816,"{}",1,0,"{""name"":""rect"",""x"":524,""y"":1090,""width"":30,""height"":31}","{}"
camcourt1_1512416912203_0.png,5339746,"{}",0,0,"{}","{}"
camcourt1_1512416912203_40.png,5337148,"{}",0,0,"{}","{}"
camcourt1_1512417992151_0.png,5337662,"{}",0,0,"{}","{}"
camcourt1_1512417992151_40.png,5338816,"{}",0,0,"{}","{}"
camcourt1_1512418352502_0.png,5259236,"{}",0,0,"{}","{}"
camcourt1_1512418352502_40.png,5260137,"{}",0,0,"{}","{}"
camcourt1_1512419072502_0.png,5343525,"{}",0,0,"{}","{}"
camcourt1_1512419072502_40.png,5342114,"{}",0,0,"{}","{}"
camcourt1_1512420871982_0.png,5338740,"{}",0,0,"{}","{}"
camcourt1_1512420871982_40.png,5340034,"{}",0,0,"{}","{}"
camcourt1_1512421231644_0.png,5310500,"{}",0,0,"{}","{}"
camcourt1_1512421231644_40.png,5310668,"{}",0,0,"{}","{}"
camcourt1_1512421952112_0.png,5083993,"{}",1,0,"{""name"":""rect"",""x"":1427,""y"":921,""width"":29,""height"":31}","{}"
camcourt1_1512421952112_40.png,5084076,"{}",1,0,"{""name"":""rect"",""x"":1440,""y"":903,""width"":28,""height"":30}","{}"
camcourt1_1512422672177_0.png,5366659,"{}",1,0,"{""name"":""rect"",""x"":1945,""y"":1021,""width"":30,""height"":28}","{}"
camcourt1_1512422672177_40.png,5365899,"{}",1,0,"{""name"":""rect"",""x"":1937,""y"":1026,""width"":31,""height"":34}","{}"
camcourt1_1512500981977_0.png,5608995,"{}",1,0,"{""name"":""rect"",""x"":2088,""y"":1064,""width"":29,""height"":29}","{}"
camcourt1_1512500981977_40.png,5610343,"{}",1,0,"{""name"":""rect"",""x"":2081,""y"":1052,""width"":29,""height"":29}","{}"
camcourt1_1512501341964_0.png,5577510,"{}",0,0,"{}","{}"
camcourt1_1512501341964_40.png,5577873,"{}",0,0,"{}","{}"
camcourt1_1512501701886_0.png,5598131,"{}",1,0,"{""name"":""rect"",""x"":1429,""y"":924,""width"":23,""height"":23}","{}"
camcourt1_1512501701886_40.png,5598016,"{}",1,0,"{""name"":""rect"",""x"":1440,""y"":918,""width"":26,""height"":27}","{}"
camcourt1_1512502421886_0.png,5630886,"{}",1,0,"{""name"":""rect"",""x"":2280,""y"":1215,""width"":27,""height"":29}","{}"
camcourt1_1512502421886_40.png,5623488,"{}",1,0,"{""name"":""rect"",""x"":2274,""y"":1187,""width"":31,""height"":32}","{}"
camcourt1_1512502781912_0.png,5601594,"{}",1,0,"{""name"":""rect"",""x"":1904,""y"":1088,""width"":36,""height"":35}","{}"
camcourt1_1512502781912_40.png,5591865,"{}",1,0,"{""name"":""rect"",""x"":1893,""y"":1069,""width"":35,""height"":36}","{}"
camcourt1_1512504221405_0.png,5566535,"{}",0,0,"{}","{}"
camcourt1_1512504221405_40.png,5567190,"{}",0,0,"{}","{}"
camcourt1_1512506021743_0.png,5592087,"{}",1,0,"{""name"":""rect"",""x"":1139,""y"":922,""width"":27,""height"":28}","{}"
camcourt1_1512506021743_40.png,5596590,"{}",1,0,"{""name"":""rect"",""x"":1120,""y"":909,""width"":27,""height"":28}","{}"
camcourt1_1512506381704_0.png,5587347,"{}",0,0,"{}","{}"
camcourt1_1512506381704_40.png,5588844,"{}",0,0,"{}","{}"
camcourt1_1512588801619_0.png,4822354,"{}",1,0,"{""name"":""rect"",""x"":1554,""y"":773,""width"":29,""height"":31}","{}"
camcourt1_1512588801619_40.png,4821467,"{}",1,0,"{""name"":""rect"",""x"":1565,""y"":785,""width"":29,""height"":30}","{}"
camcourt1_1512589161619_0.png,4811882,"{}",1,0,"{""name"":""rect"",""x"":2021,""y"":917,""width"":33,""height"":35}","{}"
camcourt1_1512589161619_40.png,4810456,"{}",1,0,"{""name"":""rect"",""x"":2030,""y"":915,""width"":36,""height"":34}","{}"
camcourt1_1512589521619_0.png,4803169,"{}",1,0,"{""name"":""rect"",""x"":1689,""y"":551,""width"":29,""height"":30}","{}"
