filename,bounding_boxes,num_missing
camcourt1_1512760174441_0.png,"[[0.6591748768472906, 0.37763371150729336, 0.01539408866995074, 0.07617504051863858]]",0
camcourt2_1512760174441_0.png,"[[0.48460591133004927, 0.40640194489465153, 0.0332512315270936, 0.06888168557536467], [0.3583743842364532, 0.3881685575364668, 0.019704433497536946, 0.07941653160453808], [0.3241995073891626, 0.5972447325769854, 0.04002463054187192, 0.1458670988654781], [0.7543103448275862, 0.4011345218800648, 0.023399014778325122, 0.09562398703403566], [0.6905788177339901, 0.40478119935170176, 0.03017241379310345, 0.08670988654781199], [0.34451970443349755, 0.4728525121555916, 0.02647783251231527, 0.10291734197730956], [0.44150246305418717, 0.4145056726094003, 0.029556650246305417, 0.08995137763371151], [0.5387931034482759, 0.40235008103727715, 0.02832512315270936, 0.07860615883306321], [0.5184729064039408, 0.4906807131280389, 0.06280788177339902, 0.11426256077795786], [0.45689655172413796, 0.4485413290113452, 0.03694581280788178, 0.10777957860615883], [0.5384852216748769, 0.47568881685575365, 0.03633004926108374, 0.11831442463533225], [0.21089901477832512, 0.5490275526742301, 0.037561576354679806, 0.14505672609400325], [0.5920566502463054, 0.5259319286871961, 0.04125615763546798, 0.13290113452188007], [0.7835591133004927, 0.38695299837925445, 0.025246305418719212, 0.0640194489465154]]",0
camcourt2_1512761974116_0.png,"[[0.6268472906403941, 0.5587520259319287, 0.038177339901477834, 0.11912479740680713], [0.5560344827586207, 0.4554294975688817, 0.034482758620689655, 0.12155591572123177], [0.4535098522167488, 0.4878444084278768, 0.05726600985221675, 0.10696920583468396], [0.22475369458128078, 0.5178282009724473, 0.046798029556650245, 0.12965964343598055], [0.5455665024630542, 0.5603727714748784, 0.04310344827586207, 0.1353322528363047], [0.15578817733990147, 0.546191247974068, 0.029556650246305417, 0.14424635332252836], [0.6533251231527094, 0.6057536466774717, 0.0665024630541872, 0.1353322528363047], [0.41133004926108374, 0.4813614262560778, 0.07389162561576355, 0.10048622366288493], [0.19889162561576354, 0.46677471636953, 0.023399014778325122, 0.10372771474878444], [0.6136083743842364, 0.37439222042139386, 0.019088669950738917, 0.07941653160453808], [0.6600985221674877, 0.3727714748784441, 0.020935960591133004, 0.07779578606158834], [0.7958743842364532, 0.6677471636952999, 0.04002463054187192, 0.17504051863857376], [0.584051724137931, 0.4505672609400324, 0.04495073891625616, 0.11345218800648298], [0.6000615763546798, 0.5668557536466775, 0.03633004926108374, 0.15316045380875204]]",0
camcourt1_1512763413947_0.png,"[[0.8103448275862069, 0.5162074554294975, 0.04064039408866995, 0.12965964343598055], [0.6893472906403941, 0.5060777957860616, 0.035098522167487683, 0.11588330632090761], [0.6148399014778325, 0.44692058346839547, 0.03263546798029557, 0.08995137763371151], [0.5323275862068966, 0.45502431118314424, 0.049876847290640396, 0.10291734197730956], [0.43349753694581283, 0.5749594813614263, 0.10591133004926108, 0.11102106969205834], [0.36145320197044334, 0.4914910858995138, 0.0665024630541872, 0.10291734197730956], [0.7195197044334976, 0.4205834683954619, 0.03140394088669951, 0.09076175040518639], [0.45289408866995073, 0.5984602917341977, 0.07327586206896551, 0.1239870340356564], [0.5757389162561576, 0.4728525121555916, 0.03571428571428571, 0.11750405186385737], [0.3706896551724138, 0.4740680713128039, 0.0665024630541872, 0.09076175040518639], [0.5181650246305419, 0.6588330632090762, 0.07943349753694581, 0.1685575364667747], [0.19027093596059114, 0.4639384116693679, 0.04187192118226601, 0.09805510534846029], [0.6499384236453202, 0.38452188006482985, 0.022783251231527094, 0.08670988654781199]]",0
camcourt2_1512763413947_0.png,"[[0.9818349753694581, 0.5421393841166937, 0.03633004926108374, 0.11831442463533225]]",0
camcourt1_1512765933869_0.png,"[[0.25061576354679804, 0.5222852512155591, 0.03078817733990148, 0.1353322528363047], [0.5357142857142857, 0.3739870340356564, 0.04187192118226601, 0.07698541329011345], [0.6588669950738916, 0.4189627228525122, 0.03694581280788178, 0.07293354943273905], [0.6477832512315271, 0.4785251215559157, 0.04433497536945813, 0.1239870340356564], [0.5200123152709359, 0.536871961102107, 0.05110837438423645, 0.13695299837925445], [0.7035098522167488, 0.3893841166936791, 0.033866995073891626, 0.0753646677471637], [0.3485221674876847, 0.3918152350081037, 0.019704433497536946, 0.0753646677471637], [0.6259236453201971, 0.42017828200972446, 0.04741379310344827, 0.07860615883306321], [0.5431034482758621, 0.4153160453808752, 0.02832512315270936, 0.09643435980551053], [0.48860837438423643, 0.38371150729335496, 0.022783251231527094, 0.09481361426256078], [0.48552955665024633, 0.4947325769854133, 0.033866995073891626, 0.11750405186385737], [0.3380541871921182, 0.4586709886547812, 0.024630541871921183, 0.11507293354943274], [0.3168103448275862, 0.5854943273905997, 0.04125615763546798, 0.15153970826580226]]",0
camcourt2_1512765933869_0.png,"[[0.7195197044334976, 0.3772285251215559, 0.025246305418719212, 0.08022690437601297], [0.6970443349753694, 0.3687196110210697, 0.022167487684729065, 0.07617504051863858]]",0
camcourt1_1513710529019_0.png,"[[0.6822660098522167, 0.3038897893030794, 0.01847290640394089, 0.09724473257698542]]",0
camcourt2_1513710529019_0.png,"[[0.28263546798029554, 0.7358184764991896, 0.04433497536945813, 0.1426256077795786], [0.7096674876847291, 0.5405186385737439, 0.05972906403940887, 0.16369529983792544], [0.708128078817734, 0.4051863857374392, 0.06157635467980296, 0.10372771474878444], [0.4233374384236453, 0.330226904376013, 0.046182266009852216, 0.10777957860615883], [0.3217364532019704, 0.5020259319286872, 0.03633004926108374, 0.13695299837925445], [0.14716748768472906, 0.619935170178282, 0.06157635467980296, 0.12155591572123177], [0.6896551724137931, 0.6377633711507293, 0.0812807881773399, 0.1393841166936791], [0.5751231527093597, 0.37236628849270664, 0.04310344827586207, 0.11102106969205834], [0.38700738916256155, 0.36223662884927066, 0.042487684729064036, 0.11183144246353323], [0.35314039408866993, 0.4740680713128039, 0.042487684729064036, 0.1280388978930308], [0.2669334975369458, 0.5583468395461912, 0.049876847290640396, 0.12965964343598055], [0.6702586206896551, 0.2901134521880065, 0.025246305418719212, 0.08914100486223663], [0.7318349753694581, 0.32050243111831445, 0.03140394088669951, 0.09481361426256078], [0.29248768472906406, 0.32576985413290116, 0.02832512315270936, 0.07779578606158834]]",0
camcourt1_1513710808980_0.png,"[[0.7620073891625616, 0.32455429497568883, 0.02894088669950739, 0.10615883306320907]]",0
